,user_id,status_id,created_at,screen_name,text,Drought
27,16262993,5780184970,1258415760,LongBeachWater,Pick up your tickets for Long Beach Water Rocks Festival & Concert Saturday at Wilson High 10-4 - $7 at Wilson High or LB Water Dept.,0
28,932945646,4.54E+17,1397095600,PAUtilities,Seen our banner around town? Don't miss out on the fun - register for the Great Race today! http://t.co/DZsnmUcj7J http://t.co/BJXN9e55Jk,0
29,34303800,1.36E+18,1613584203,PRCity,It's the moment you've all been waiting for - Paso Robles Supplemental Sales Tax Oversight Committee Volunteers Wanted. Details here: https://t.co/VLqR0nxmg9 Apply by March 12. https://t.co/XhlXFxBN5I,0
30,1551505850,1.24E+18,1583809801,SanJuanWtrDist,Ever heard of a PFAS? They’re a group of man-made chemicals used in different consumer products like nonstick cookware. San Juan has tested our water supply &amp; found no detectable levels of PFAS contaminants in your water. Learn more in our latest WaterGram:https://t.co/qUDJtqAEeL https://t.co/iGKYpft3P9,0
33,24053573,8.62E+16,1309385915,CCWD,"Record 29.09 pound catfish caught at Los Vaqueros, first record catch at reservoir this year. http://t.co/iwmsSj1",0
36,87299172,1.37E+18,1615339333,cityofmartinez,"¡La Guía de Actividades de primavera de Martinez Recreation 🌸 ya está disponible! La guía ofrece información sobre los próximos programas de primavera, incluidos: Spring Break Camp, programas virtuales y programas de biblioteca.

Ver más: https://t.co/XEIYgJgMVZ https://t.co/FlWZ7MtXHO",0
38,305260616,9.29E+17,1510255687,venturawaterCA,Plant once and enjoy harvests year after year with perennial vegetables https://t.co/ayi5qgjnho https://t.co/35PSovlHQS,0
39,1205839339,7.91E+17,1477349297,sbcitywater,Service Alert for 10/25/16: Christine St. between Christine Ct. &amp; Christopher St. Click here for more details:https://t.co/lI1m6LXMaN,0
42,921026940,9.01E+17,1503532001,AlamedaCountyWD,"Ur tap 💦cld b a honor student 🤓Yep, we analyze 180+ substances &amp; make the grade 👀4 urslf https://t.co/pWNXez55FW #NationalWaterQualityMonth https://t.co/plUqAJr9SY",0
43,16262993,1.51E+18,1648685174,LongBeachWater,"If we do need to contact you about your bill, we’ll send you an automated voice message asking you to give us a call back so we can work together to help you pay off your balance.",0
47,39857211,4.95E+17,1406839241,CityofRedlands,"Starting Friday night, August 8th, five weekends of 55-hour lane closures are required on I-15 northbound between... http://t.co/35EcFejBgt",0
49,24053573,5.91E+17,1429628151,CCWD,@ETwater Yes we do for commercial and residential customers. Here's more information:  http://t.co/drBEN3QQkM,0
50,34303800,1.25E+18,1587056433,PRCity,"La Sala de Comercio de SLO quiere garantizar el acceso a la financieras información. Únase a nosotros mañana para un seminario web en vivo mientras atacamos sus preguntas financieras y operativas.

Register now at https://t.co/GGINWywJep https://t.co/0kQHPZcNoP",0
51,34303800,1.59E+16,1292634039,PRCity,"Paso Robles City Council Meeting Agenda for December 21, 2010 http://goo.gl/fb/rMZic",0
52,385115091,4.46E+17,1395085845,tdpud,"When students learn how to conserve energy and water, and how to prevent electrical accidents, they build habits to last a lifetime.",0
53,30895301,1.52E+18,1651508157,CityofBenicia,"05/02/22 City of Benicia This Week
Message from the City Manager, COVID Assistance, Library Welcomes VOENA for Outdoor Concert, Planning for Climate Change in Benicia, City Celebrates Building Safety Month, National Historic Preservation Month and more at https://t.co/0LjVdWaQhM. https://t.co/xPBAwxwB2Z",0
54,41149912,9.58E+17,1517243760,IRWDnews,"Check out these ideas to green your landscape in healthy, sustainable, environmentally friendly ways https://t.co/IN2heWXMfc",0
55,2530661071,1.24E+18,1584558214,CityofVallejo,Weren’t able to participate today? No worries! Head over to https://t.co/2QJUFOqHOd and @SmlBizMajority and we can share Resources with you! @CAGoBiz #casmallbiz #COVID2019 https://t.co/uAvjEilGJk,0
56,106542303,1.24E+18,1583886305,SweetwaterAuth,Twelve South Bay area high school students will be honored for their winning photos at the March 11 @SweetwaterAuth Governing Board meeting. The contest challenged students to show the importance of water in everyday life. https://t.co/hhoL1doPGb #photography #cawater #education https://t.co/zOdsWPvMk2,0
57,2584504255,5.93E+17,1430251601,CityofPismo,"Current weather conditions in Pismo Beach: PERFECT!
Share your photos of Pismo with us #PismoPics http://t.co/d2ngk9D0xQ",0
59,2726510880,5.09E+17,1410297275,PalmdaleH2O,http://t.co/u7pLsvBe5J http://t.co/irlAwzZNGA,0
60,117560494,1.14E+18,1559773821,CityOfLomaLinda,The City of Loma Linda Fire Department is here to serve! There’s still time to join the fun for a great cause. https://t.co/UvFOkRxuVA,0
61,305260616,5.16E+17,1411767423,venturawaterCA,Another friendly reminder to clear out the cabinets of unwanted medications today and drop them off tomorrow at... http://t.co/mwJBtOcTRH,0
62,87299172,1.36E+18,1612245672,cityofmartinez,@cityofmartinez Council will meet at 7p 2/3/21 and consider adoption of a recommended FY 2021-22 Street List and an updated 5yr Street List of @cityofmartinez streets planned for paving.  https://t.co/VfTdrxnuRd,0
63,2327619312,1.56E+18,1660065637,DWAwater,Drop off food for the Cathedral City Senior Center in our lobby (1200 S. Gene Autry Trail in Palm Springs) this week until noon Friday (8/12) &amp; we’ll deliver them. You can also take food to 37171 W. Buddy Rogers Ave. between 3-6 p.m. on Saturday (8/13) &amp; get an ice cream treat!🥫 https://t.co/C05fDd3MTQ,0
64,932945646,1.35E+18,1611688981,PAUtilities,"Join the CPAU team for an exciting career making a positive difference! We take pride in the critical &amp; rewarding work we do to keep the #PaloAlto community going with safe, reliable utilities services. Electric, fiber optics, gas, water &amp; wastewater services. @cityofpaloalto https://t.co/71W2acUUhL",0
65,921026940,2.87E+17,1357229767,AlamedaCountyWD,"If you're increasing your exercise routine in 2013, remember to stay hydrated. Drink tap water!",0
66,932945646,7.30E+17,1462988982,PAUtilities,"Put your bike in gear for Bike to Work Day on Thurs., May 12 &amp; stop by a station to refuel. https://t.co/la1B75qv1S https://t.co/FQTm2bTyED",0
67,87299172,1.56E+18,1660867498,cityofmartinez,"(1/2) ¡Sintonice KTVU a las 9 AM el 26 de agosto mientras muestran nuestra propia #CityofMartinez! 📺

KTVU ha estado de gira para otra temporada divertida de Zip Trips con ciudades del Área de la Bahía, ¡y está terminando el verano con un espectáculo en Martínez el 26 de agosto! https://t.co/r2bHidx2NV",0
69,33681341,3.14E+17,1363789554,CityofSunnyvale,"Good advice MT @MountainViewPD: Roads are wet = longer to stop the car. When wipers are on, headlights should be too. #DriveSafe",0
70,161468853,9.38E+17,1512428478,COGWaterPower,"The City of Glendale Parks and Fire Departments have partnered with ABC 7's 25th Annual #SparkofLove Toy Drive to cram a Cruise Night classic car with toys! Drop off a new unwrapped toy in front of the Alex Theatre this Wednesday, December 6 anytime between 3 - 8 p.m. to help! https://t.co/LOUC4IJ9TO",0
75,17369233,7.38E+17,1464733302,LVMWD,Swallows love making their mud nests at our composting facility #nature #wildlife https://t.co/0nLlNf4FPB,0
76,33681341,4.10E+17,1386635680,CityofSunnyvale,The City website http://t.co/XCp070Ntui is currently down for emergency maintenance.,0
77,16262993,21085793097,1281724038,LongBeachWater,@belovedsabrina  Ocean and Coronado - Bluff Park :),0
78,34303800,6.65E+17,1447438734,PRCity,"Paso Robles City Council Agenda for November 17, 2015 https://t.co/hA0rvEQJoK",0
79,41149912,1.02E+18,1532528043,IRWDnews,"#WomanCrushWednesday Collection Systems Manager Dorien McElroy has been selected by the California Water Environment Association to be featured as an emerging leader of this month’s Clean Water magazine. Congrats, Dorien! #wcw #girlpower #girlboss https://t.co/KkCkCdOPRT",0
80,1183996111,1.13E+18,1559168942,RowlandWater,"Ss were awarded 1st 2nd 3rd place for #MiniSolarCup today by @RowlandWater for #writersworkshop informational reports, engineering, and #kidboom presentations -loved seeing the encouragement they had for each other! https://t.co/J0gYmGq5Lk",0
81,48446582,3.07E+17,1361916811,NCWD,"Special Board Mtg on Feb 28, 13 at 6pm
http://t.co/7nMtOucWKj",0
83,305260616,3.14E+17,1363725227,venturawaterCA,Check out this Rain Garden App http://t.co/5YEBQZeI4R,0
84,305260616,8.90E+17,1501028317,venturawaterCA,Teaching and empowering our youth about sustainable practices.  WATCH: https://t.co/QoqtGLtL19 https://t.co/F7yka5zUIg,0
86,87299172,1.34E+18,1609438421,cityofmartinez,"El Concejo Municipal de Martinez ordenó al personal que formara una fuerza especial comunitaria para abordar el potencial de sesgo implícito y racismo sistémico dentro de la Ciudad. Para que la fuerza especial tenga éxito, estamos buscando tantos solicitantes potenciales. https://t.co/JKAJS5pJYb",0
87,2530661071,1.12E+18,1556065900,CityofVallejo,Reminder: Participatory Budgeting Voting Expo on April 25! https://t.co/hX7LkF1Fgn https://t.co/4w9pdaPIex,0
88,130282081,7.23E+17,1461269113,ElsinoreEddie,Join us May 14 for the 2016 Santa Rosa Plateau Garden Tour &amp; Party! For tickets visit https://t.co/qDvIoDJUKU. https://t.co/g0G4BT6ERh,0
89,161468853,1.05E+18,1538520210,COGWaterPower,"Join us on 10/11 for Utility Day, the annual open house of our Utility Operations Center. Learn about what we do to deliver water &amp; power to you! We'll also have free food, bucket truck rides, and power plant tours #PublicPower #communitypowered #MyGlendale https://t.co/ZPulpgFkCy",0
90,305260616,7.93E+17,1478015374,venturawaterCA,@VeeruMM WorldWide short filmfestival https://t.co/sDyCTz2T9l To inspire Thoughts/Actions abt the Value of Water. Open Submssion,0
91,3070162592,1.48E+18,1642800900,IWVWaterDist,"Please see our updated FAQ sheet, https://t.co/50OSuvKxoI, for important information regarding the water rights lawsuit (basin adjudication). We will be holding another important workshop on Jan. 26th. Visit our Facebook page for time, location &amp; additional updates.",0
93,39857211,2396375261,1246323496,CityofRedlands,Toddler dies after climbing into pool Saturday: http://bit.ly/haWgH,0
94,245885568,1.11E+18,1553096216,OtayWater,"It’s the first day of #spring! 🌼 It’s also a great time to spruce up your irrigation system! Find #FixALeak Week tips: https://t.co/diSfu2LrQu    

#FixALeakWeek #LeakDetection #WaterWednesday https://t.co/XeZlRFo61h",0
95,2281087598,1.58E+18,1665513028,PlacerWater,October is National Energy Awareness Month. Installing an Energy Star certified clothes washer is a great way to conserve energy and water. They are independently certified to use 25 percent less energy and 33 percent less water. https://t.co/2CkXv0FfBJ,0
97,41149912,1.24E+18,1584287161,IRWDnews,"Established in 1996, the San Joaquin Marsh is home to a variety of rare, threatened and endangered species, including the Least Bell’s Vireo, Long Eared Owl and Western Pond Turtle #irvine #weekend #birding https://t.co/CEsQtkUDH0",0
98,106542303,6.73E+17,1449247572,SweetwaterAuth,"Join us at SDG&amp;E's Chula Vista Branch Office for a community resources fair TODAY, 9 a.m. - 3 p.m. @sdge #community #chulavista",0
99,932945646,9.35E+17,1511839883,PAUtilities,Our Utilities Advisory Commission members meet w Council. What a bunch of really smart citizen volunteers. Lucky Palo Alto. @PAUtilities https://t.co/hSGV9UlU1f,0
102,87299172,1.54E+18,1656521903,cityofmartinez,"(6/6) La Ciudad ha enviado por correo avisos de audiencia a todos los clientes de agua, y se puede encontrar más información en nuestro sitio web https://t.co/tYmfxJW6Wx",0
103,34303800,2.96E+17,1359395242,PRCity,Press Release-  Residential Structure Fire – 3243 Oak Street http://t.co/AD9PU8WT,0
104,2513996370,8.20E+17,1484234485,CCWDnews,A steel I-beam was placed over the damaged portion of Blagen Road and straps were fastened around the exposed... https://t.co/U5uMc8W6dZ,0
106,2530661071,8.45E+17,1490290591,CityofVallejo,03-23-2017 - Press Release - Vallejo Seventh Annual Recycled Sculpture and Art Contest https://t.co/CoFSmNNll4 https://t.co/hfoQQUXYpu,0
108,41149912,9.06E+17,1504741693,IRWDnews,Nothing beats a cold drink on a hot day! Find out why it's impt for SoCal to make investments to secure reliable water supplies #CAWaterFix https://t.co/avmJiWaVcY,0
109,2327619312,1.14E+18,1560009686,DWAwater,Our team at DWA works hard to provide high quality and reliable water. Our annual Water Quality Report is available online at https://t.co/RvArGCOEEx. To request a hard copy call 760-323-4971. #waterqualityreport https://t.co/P47Jm2e9BI,0
110,34303800,1.24E+18,1584987561,PRCity,COVID-19 Update: Stay Connected! A Message from Paso Robles Mayor Steve ... https://t.co/bN5UgOenp6 via @YouTube,0
111,602351816,1.56E+18,1660669335,CITYSEM,"Join us tomorrow, August 17 at 12pm  for a public workshop to learn about the latest project updates, an overview of the Zoning Code Handbook, and let us know your thoughts. 
Register for the meeting at https://t.co/P3Uga6ND8F

To learn more at https://t.co/5LfYOUlvDB https://t.co/kU5haQ18MD",0
112,7.42E+17,7.86E+17,1476235504,CityofMadera,"Town Hall meeting, watch live: https://t.co/aaRVPuIu7r",0
114,2334768636,9.62E+17,1518116056,vallecitoswater,The San Diego County Prescription Drug Abuse Task Force is collecting information on public awareness on how to dispose of unwanted medication. Help by talking this survey: https://t.co/jwgAxAFCu8.  Drop off locations for unwanted prescription drugs: https://t.co/i6vnDqkNYq https://t.co/l2kloYUFzY,0
115,87299172,9.58E+17,1517345311,cityofmartinez,"City Manager's Report | February 2018. Did you hear the latest news? Proposed District Maps, why street crews were out working for 12-hours, etc. Read more: https://t.co/HIuRzwOdpV https://t.co/rDn5Z2tfTK",0
116,161468853,1.33E+18,1605829162,COGWaterPower,"Through our D.E.V.O.T.E. program, some GWP employees volunteered to be guest readers for @myglendaleLAC. Visit their website to see how you can celebrate #PictureBookMonth with your little ones &amp; check out the ""Reading With Glendale Water &amp; Power"" section. https://t.co/ZPzV7J85f8",0
117,34303800,5.75E+17,1425919540,PRCity,Employment Opp: Confidential Personnel Assistant (Human Resources) http://t.co/Pu3WCBmFLu #pasoroblesjobs,0
118,39857211,1.26E+18,1589572851,CityofRedlands,For additional drive through dates and locations visit San Bernardino County's website at https://t.co/jJyy7QaDXy https://t.co/PxqTFESVXX,0
119,250868881,7.61E+17,1470243602,YVWD,Recycled Water Fill Station open tomorrow at 8:00 am https://t.co/xJtNBacGfC https://t.co/wKYMIZUh0C,0
120,3299678121,9.43E+17,1513622533,eastvalleywater,EVWD was honored with the first place Top Workplaces Award in the small company category by The Press Enterprise for the second consecutive year! Thank you EVWD employees for your commitment to providing world class public service. Official press release: https://t.co/lGuDdE4ZhU https://t.co/HJJc5ohfU6,0
121,1205839339,1.13E+18,1558731181,sbcitywater,"Enjoy a happy and safe Memorial Day weekend! SBMWD offices will be closed on Monday, May 27th, 2019 in observance of Memorial Day. Our offices will re-open on Tuesday, May 28, 2019, at 7:30 a.m.

To report a water or sewer emergency, please call (909) 384-5141. https://t.co/IdSH0JuJZn",0
122,2281087598,1.28E+18,1593110963,PlacerWater,Stay hydrated. #GotWater? https://t.co/muV3S1UCd7,0
123,245885568,9.18E+17,1507740174,OtayWater,@CityofSanDiego @SanDiegoCounty @vallecitoswater @OtayWater @helixwater @SweetwaterAuth @PadreDam @CityofOceanside @carlsbadcagov @thinkchulavista  https://t.co/Iic6pUEdwu,0
124,2281087598,1.20E+18,1574468506,PlacerWater,Make sure to come visit #PCWA at the @MandarinFest in Auburn this weekend! After picking up some delicious Placer Grown mandarins head to our booth to learn about fall planting and water efficiency. Even our youngest residents can't resist! https://t.co/BAfpPPD5Zm,0
125,34303800,1.13E+18,1558365303,PRCity,"City Offices and Library Closed on Monday, May 27th, in Observance of Memorial Day. #PasoRobles  https://t.co/VoMQrcoiTq",0
126,245885568,1.24E+18,1583967687,OtayWater,.@OtayWater is creating a scholarship fund in GM Mark Watton’s name. The Mark Watton Scholarship Fund at the Foundation for Grossmont &amp; Cuyamaca Colleges will support students attending the Center for Water Studies at Cuyamaca College.,0
127,1205839339,1.49E+18,1644959823,sbcitywater,"SBMWD is recruiting for an Administrative Assistant, Engineer, and a Water Utility Worker I position. Visit https://t.co/x42SjFyXIG for more information and to apply. #SanBernardino #JoinSBMWD #NowHiring #Careers #WaterJobs #WorkInWater #TrustedQualityService https://t.co/wkqNrvTHGO",0
128,2726510880,1.38E+18,1618446303,PalmdaleH2O,"Our Bulk Water Station is now available for customers to purchase non-potable water on the go. The min. purchase is 50 gal. at a cost of 10 cents/gal. The station is at PWD's main office, 2029 E. Avenue Q between 6 a.m.-5:30 p.m. Mon.-Thurs., excluding holidays. #BulkWater #PWD https://t.co/5P7Ouwg8X9",0
130,1183996111,1.54E+18,1656428479,RowlandWater,"🎉🏆Congrats to one of our 3rd Place Winners in our Annual #PosterContest!

🎨Jacob placed 3rd out of over 300 participating students &amp; the artwork has been submitted to @bewaterwiseh2o for their regional poster contest!

@RowlandSchools @teletitan 
#DiscoverRWD #WaterArt https://t.co/xrwD6lVov5",0
131,87299172,1.24E+18,1584836735,cityofmartinez,City of Martinez parks remain open as allowed under the Governor’s Stay-at-Home Order but playgrounds and drinking fountains are now closed.  Please follow the mandatory 6 feet social distancing requirements to help prevent the spread of Coronavirus to you and your community.,0
132,87299172,5.23E+17,1413497436,cityofmartinez,MPD arrests kidnapping suspect BLAKE ROBERT JOHNSTON and locates 14 year old girl from Oregon. http://t.co/uk9NKe9Nrk http://t.co/UPbmZNZZtI,0
133,1551505850,1.51E+18,1648081264,SanJuanWtrDist,"Don’t be afraid of the toilet tank. Flapper valve replacements are easy to DIY. Check out this 1-minute 🚽 tutorial:

https://t.co/cDbC1HLiJa
#fixaleakweek
#sanjuanwater https://t.co/DcFxv0mbXi",0
135,921026940,1.42E+18,1628128742,AlamedaCountyWD,August is National Water Quality Month https://t.co/WoTuSWZKSb https://t.co/j59ux0wIbC,0
136,87299172,1.35E+18,1611625245,cityofmartinez,"Continúe usando una mascarilla, distancia social y lávese las manos con frecuencia para seguir frenando la propagación de #COVID19.

Para obtener más información sobre los servicios y actividades permitidos en el nivel morado, visite: https://t.co/vArvnjGIpl (2/2)",0
137,33681341,2.44E+17,1346948371,CityofSunnyvale,"TEMP RD ClOSURES Sep 6:  Duane Ct from Duane to Santa Ynez center closed until 6p for chip, seal http://t.co/aRWa9gAl",0
138,34303800,1.37E+18,1614296103,PRCity,"City of Paso Robles COVID-19 Update for February 25, 2021. Vaccine info, updated sports guidance and new state financial assistance programs for businesses and individuals. https://t.co/WiTdjw3jQs https://t.co/DKoK1jVjJ3",0
139,39857211,9.04E+17,1504396423,CityofRedlands,@RedlandsPD advisory for residents @ Outer Hwy 10 - Live Oak Cyn to Alta Vista &amp; Alta Vista to Sunset &amp; Helen Court. #PalmerFire @redlandsFD,0
141,932945646,5.86E+17,1428443110,PAUtilities,@Hagit Is your power back on? You can always report an outage by calling (650) 496-6914.,0
142,59612785,1.29E+18,1595980621,YLWD,YLWD is committed to delivering safe and reliable water to our customers. Check out our 2020 Water Quality Report. Read more: https://t.co/BzkEr6HL3p #YLWD #YourWater https://t.co/Wi4wMtE8sG,0
144,106542303,1.04E+18,1536619677,SweetwaterAuth,An innovative program preparing students for the #BlueEconomy right here in SD County! 💧 Learn the skills you need to #WorkforWater (then sign up for career opportunity alerts at https://t.co/ZS5MJtgVnk)! #FutureWaterLeaders https://t.co/UaqLbbK0rq,0
145,305260616,1.32E+18,1603917551,venturawaterCA,10/28/2020 at 1:40 pm- Water service is fully restored.,0
146,245885568,8.65E+17,1495144930,OtayWater,The FREE Water Agency Customer Appreciation Day this Sunday (5-21) from 9AM - 2PM at the Water Conservation Garden 😃 https://t.co/3ksA6xJnva https://t.co/7WaVpAsDPO,0
147,385115091,8.27E+17,1485965730,tdpud,"Board Meeting Tonight, 6:00 PM in our Board Room @ 11570 Donner Pass Rd. Public participation is encouraged. https://t.co/P58gJYc2DJ",0
149,24053573,8.87E+17,1500404092,CCWD,"We planted 4,000 bluegill &amp; largemouth bass last week at Los Vaqueros Reservoir, plus 1,000 lbs of catfish! 
https://t.co/Lf1TGwdjqq",0
151,41149912,9.24E+17,1509119844,IRWDnews,It takes 450 gallons of water to make a 3.5-ounce chocolate bar. That's almost 10 full bathtubs! #candy #water https://t.co/4ufcwP2Jc4 https://t.co/AeTjYTPWh4,0
152,602351816,1.30E+18,1598386601,CITYSEM,"Prepare today as #Laura approaches and plan for your specific needs:

✅ Include medication in your emergency kit 
✅ Charge assistive devices &amp; have extra batteries 
✅ Research local accessible transportation options 
✅ Update your emergency contacts 

https://t.co/Hb0IVIB4WL https://t.co/yVzOnVT581",0
153,30895301,8.38E+17,1488556804,CityofBenicia,Smoking in Parks Prohibition to be Considered:  The Benicia City Council will consider a proposal to prohibit... https://t.co/Pzg8cQeXTd,0
155,41149912,8.91E+17,1501192026,IRWDnews,Happy #NationalInternDay! https://t.co/BQPCPcrlwh,0
156,2327619312,9.28E+17,1510166895,DWAwater,Did you know: Water in the Palm Springs area has naturally occurring magnesium. https://t.co/1588Y5yjrQ,0
157,602351816,1.44E+18,1632258036,CITYSEM,"Save the date for our virtual town hall this Thursday on Sept 23rd at 6pm! We’ll be talking about COVID-19 cases in children, youth sports, vaccine mandates and updates on vaccines for children aged 5-11. Submit a question at https://t.co/6gNaEdNP5T https://t.co/oKdLMcPqT8",0
158,17369233,1.36E+18,1612373384,LVMWD,"TEMPOARY WATER SHUT-OFF: A water main break in the area of Mullholland, Seminole, and Lookout Roads has been reported. LVMWD crews are responding to the break. We apologize for any inconvenience. If you have questions please call our customer service number at 818-251-2200.",0
160,87299172,9.87E+17,1524173095,cityofmartinez,"City to Host MCE Community Workshop.  Thursday, April 26th, 7 p.m. in the Council Chambers.  Please see the attached flyer for more details.  https://t.co/LPmaIBLT9o https://t.co/zMA426EHWO",0
161,385115091,1.09E+18,1548961520,tdpud,Have you seen our new lobby?   Stop in and take a look around while you pick up your FREE swag and light bulbs.  https://t.co/Yqp69BQVxi https://t.co/O4n7CDlAls,0
162,921026940,5.60E+17,1422378934,AlamedaCountyWD,"ACWD employee, Steve Dennis, elected vice president of @AWWAACE read full release http://t.co/81bQQjxH2P",0
163,106542303,2.91E+17,1358199683,SweetwaterAuth,Incentives 2replace turf in SD County? Spread the word &amp; retweet! Follow @sdcwa now! Live Twitter chat 1/17 12 to 1 pm http://t.co/6ayZlkXA,0
164,34303800,1.01E+18,1528497080,PRCity,"If you're available tomorrow evening, join the Riverbank neighborhood in celebrating the Grand Re-Opening of Larry Moore Park! Kickball, fire truck and cop car, an outdoor movie, Riverbank Bingo and more. 7-10PM.

Bring low back chairs and a jacket. https://t.co/pkU3JWHTZz",0
165,2281087598,8.90E+17,1501108304,PlacerWater,Alex Ferreira served on #PCWA Board for over 14 years. https://t.co/R8P2pfAzcA,0
167,2726510880,5.72E+17,1425312052,PalmdaleH2O,Rare ice caves form on the #GreatLakes (via @wbir) http://t.co/RGuVqJvSpM http://t.co/7NSABYHFXf,0
168,932945646,6.73E+17,1449204184,PAUtilities,"We posted the wrong date! City Sandbag Day is Dec 13 (9am-2pm, 3201 E. Bayshore) NOT Dec 3 - sorry for the typo! https://t.co/FRPKoqSXpr",0
169,921026940,1.27E+18,1591312764,AlamedaCountyWD,"A sweet surprise found by Ryan, ACWD Operations, at one of our water sample stations.  Kindness rocks. 😊
#ACWDcares 🚰👍🏻  #TriCitiesTogether https://t.co/HzEd4y69Fd",0
171,602351816,1.25E+18,1585758545,CITYSEM,"Hello South El Monte! 
Today is Census Day! South El Monte is coming together to make sure everyone is counted in the #2020Census. 

Not sure how to fill it out? Visit https://t.co/Gew9uAguXm and complete the Census online or by phone!

#2020SEMCENSUS #MAKESOUTHELMONTECOUNT https://t.co/Kszuu6SDlS",0
172,602351816,1.10E+18,1550106260,CITYSEM,"Come and cheer the South El Monte High School Girls Soccer Team this Saturday, February 16th at 3 pm at Gabrielino High School, as they compete in the CIF Semi-Finals!

Gabrielino High School is located at 1327 S San Gabriel Blvd, San Gabriel.

Go... https://t.co/lX5l6NyEqD",0
173,59612785,1.26E+18,1589496242,YLWD,"Yorba Linda Water District is committed to serving our community. This past week, YLWD donated 15 cases of bottled water to @pathpartners at the Placentia Navigation Center. The PATH organization works to end homelessness for individuals and families throughout California. https://t.co/KMmJfrRL8c",0
174,3299678121,1.57E+18,1662324311,eastvalleywater,"There are many ways to prepare for emergencies.

At home, you can develop an evacuation plan that includes drills and safety procedures. #EmergencyPreparednessMonth

#EVWD #WeAreEVWD #EvacuationPlan #CityofHighland #CityofSanBernardino #BeReady #StaffTraining https://t.co/wkCTB9RwIY",0
176,2530661071,8.68E+17,1495842609,CityofVallejo,Laurel Bridge over I780 closed starting May30. Local detours. I780 stays open https://t.co/D9mozV83LL @CityofVallejo @VCUSD @vjotimesherald https://t.co/Irlj05aaAG,0
