"","screen_name","user_id","status_id","created_at","text","Drought","...1","supplier_name","public_water_system_id","county","hydrologic_region","climate_zone","total_population_served","reference_2014_population","Water System Name","Water System Classification","Water System Ownership","Physical location City","Physical location Zip","Website URL","wdist_id","Website","District Governance Type(special district, for-profit, or city)","Old Twitter handle","Twitter handle"
"11","AlamedaCountyWD",921026940,5.90952e+17,"4/22/15 18:57","Special Board Meeting Notice and Agenda: Special Board Meeting Notice and Agenda Update: Minutes added or updated http://t.co/Bo5tGQLX1A",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"12","AlamedaCountyWD",921026940,4.97e+17,"1407340075",".@TeamCoco @ConanOBrien Joins The Effort for #CADrought! Watch the videos at http://t.co/T2s0oyTc3R  #TeamCocoH2O http://t.co/HCyGlgraIg",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"13","AlamedaCountyWD",921026940,1.32993e+18,"11/20/20 23:21","Coming Soon - Advanced Metering https://t.co/qTK2sOfiL7 https://t.co/ymIw038SIo",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"14","AlamedaCountyWD",921026940,8.92884e+17,"8/2/17 23:06","1 bag=3 lives saved. 20 ACWD donors=60 lives saved.  Stepping up to help those in need. Thx @RedCross 4 coming out today! #BloodEmergency https://t.co/LfXOOAB4SZ",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"15","AlamedaCountyWD",921026940,1.26e+18,"1590180691","Business Analyst I/II: The Alameda County Water District, located in Fremont, California, is seeking to hire a Business Analyst responsible for the acquisition and compilation of data, analysis of such data, project management, report preparation, and… https://t.co/1q4CvujLvA",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"16","AlamedaCountyWD",921026940,5.65e+17,"1423601284","Special Board Meeting: Event date: February 12, 2015 Event Time: 04:00 PM - 11:59 PM Location: 43885 S. Grimmer… http://t.co/nZeKxWvKYj",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"17","AlamedaCountyWD",921026940,1.29e+18,"1596661764","Here's a water saving tip for your Wednesday. Thanks @CA_DWR ❤️💦
#ACWDcares🚰👍 https://t.co/3bbMUHU1Ue",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"18","AlamedaCountyWD",921026940,1.53461e+18,"6/8/22 18:36","Human Resources &amp; Public Affairs Technician: The district participates in both an Alternative Work Schedule and Hybrid Work from Home Program.

The Alameda County Water District located in Fremont, CA is seeking to fill one Human Resources and Public… https://t.co/IKVfJZARmW https://t.co/xdnHzet8Gt",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"19","AlamedaCountyWD",921026940,1.54e+18,"1656953483","Wishing everyone a safe and happy 4th of July holiday!  Our office is closed today and will reopen tomorrow at 9 am to 4 pm.  For water emergencies, please call us at  510.659.6500. https://t.co/GhFXKczUBB",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"20","AlamedaCountyWD",921026940,4.73424e+17,"6/2/14 11:21","Engineering and Capital Projects Committee Meeting (Rescheduled from 6/19): June 16, 2014 http://t.co/fgHLQBCShA",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"21","AlamedaCountyWD",921026940,6.89588e+17,"1/19/16 23:18","Legal and Legislative Committee Meeting: Event date: January 22, 2016 Event Time: 04:00 PM - 11:59 PM Location:… https://t.co/qECNu8c6zL",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"22","AlamedaCountyWD",921026940,1.28e+18,"1592866829","It's #NationalHydrationDay &amp; we've got you covered! We continue to invest in &amp; improve our water delivery system.The Vallecitos Channel Restoration Project is in design phase &amp; in the future will deliver 💦 from the State Water Project &gt; Alameda Creek &gt; your home! ACWDcares🚰👍 https://t.co/OKlzrwGuSt",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"23","AlamedaCountyWD",921026940,1.36793e+18,"3/5/21 20:03","We're introducing new water meter technology that will improve water usage tracking and billing for ACWD customers!  Find out more at our Virtual Community Information Meeting on Wed. March 10 at 6:00 pm.  
Zoom link: https://t.co/yI83v6QGMb
See you there!
#ACWDcares 🚰👍 https://t.co/UUzSdpJdGK",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"24","AlamedaCountyWD",921026940,1.21e+18,"1578354389","It's the ACWD🚿WaterClips Student Video 🎬 Contest! Tri-City students 🤩 in grades 6-12 can win up to $500 💵 for creating a video 🎥🎞about 🚰 water! Deadline to submit videos 🎥 is April 3, 2020. Go to https://t.co/7Unwjcs55X for contest details! 🙌
#ACWDCares #CAwater https://t.co/aJqiA93we0",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"25","AlamedaCountyWD",921026940,1.39e+18,"1619112948","Happy #EarthDay2021! 🌎❤️ All it takes is one action to make a world of difference. Celebrate Earth Day every day by conserving water. Start today with these three simple water saving tips! #ACWDcares🚰👍🏻
@Fremont_CA @UnionCityCA_Gov @WaterEdFdn @EPAwatersense @saveourwater https://t.co/VNmTl3XsaW",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"26","AlamedaCountyWD",921026940,7.21096e+17,"4/15/16 22:02","Legal and Legislative Committee Meeting: Event date: April 20, 2016 Event Time: 03:00 PM - 11:59 PM Location: 43885… https://t.co/fbqm71udii",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"27","AlamedaCountyWD",921026940,4.74299e+17,"6/4/14 21:16","Legal and Legislative Committee Meeting: June 18, 2014 http://t.co/JCZeR53waC",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"28","AlamedaCountyWD",921026940,4.03695e+17,"11/22/13 1:22","ACWD Staff Proposes Rate Increase for 2014: ACWD staff is proposing a 7% increase in both the water commodity... http://t.co/b1kCool2Xx",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"29","AlamedaCountyWD",921026940,8.55207e+17,"4/20/17 23:50","See you there! https://t.co/q0EYs6ZPHp",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"30","AlamedaCountyWD",921026940,6.88e+17,"1452798602","Agenda: Agenda https://t.co/tiQ6ahJDKy",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"31","AlamedaCountyWD",921026940,5.93675e+17,"4/30/15 7:13","Board Meeting: Event date: May 14, 2015 Event Time: 06:00 PM - 11:59 PM Location: 43885 South Grimmer Boulevard… http://t.co/P0LmbFK0S9",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"32","AlamedaCountyWD",921026940,6.53e+17,"1444428010","Engineering and Technology Services Committee Meeting: Event date: October 15, 2015 Event Time: 04:15 PM - 11:59 PM… http://t.co/QniBB3dfNL",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"33","AlamedaCountyWD",921026940,1.40483e+18,"6/15/21 15:58","#TipTuesday We’re shining a #OneSavesWater spotlight on ACWD customers Rick &amp; Sandi from Newark. See how they’re taking action today to save water for tomorrow! More H2O saving tips at https://t.co/0NeyC1XOU6. @NewarkChamber @NewarkCA_Police @ACWAWater @OhloneCollege https://t.co/URfjrLMXvI",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"34","AlamedaCountyWD",921026940,5.28235e+17,"10/31/14 17:22","Operations and Water Quality Committee Meeting: Event date: November 5, 2014 Location: Across from the Entrance to… http://t.co/PsFVLqFp6K",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"35","AlamedaCountyWD",921026940,5.78095e+17,"3/18/15 7:27","Operations and Water Quality Committee Meeting: Event date: April 1, 2015 Event Time: 12:00 AM - 11:59 PM Location:… http://t.co/2Ei5smz0Ez",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"36","AlamedaCountyWD",921026940,1.37049e+18,"3/12/21 22:00","We're wrapping up Groundwater Awareness Week 2021 w/a lesson on groundwater!  ACWD Engineer, Rachel M., uses a model to demo the wonder of  groundwater! Full video @ https://t.co/uUaIrGRRso
#GWAW #ACWDcares🚰👍 https://t.co/jiYuQakpJd",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"37","AlamedaCountyWD",921026940,4.41e+17,"1393965995","ACWD Drafts Water Shortage Emergency Ordinance: Due to the ongoing drought, ACWD has drafted an ordinance... http://t.co/PdOM2JPKgi",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"38","AlamedaCountyWD",921026940,1.24291e+18,"3/25/20 20:09","Why 🤷🏻‍♀️ shop for water 💦 when it’s available 24/7 in your home?  Tap water is safe.  Get the facts https://t.co/PyAXSpEr8T.  🚰👍🏻
https://t.co/kd8y8Ca7YN #BeatCOVID19 
#ACWDcares @Fremont_CA @CaWaterBoards @EPAwater @UnionCityCA_Gov https://t.co/9hzjh9KBxG",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"39","AlamedaCountyWD",921026940,1.09e+18,"1548824259","Crews are working to isolate &amp; repair a water main leak on Warm Springs Blvd. between Brown Rd &amp; E. Warren Ave in #Fremont. Affected businesses have been notified. Thank you for your patience. #WarmSpringsBlvd #WarmSprings https://t.co/u1YsAforNG",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"40","AlamedaCountyWD",921026940,3.7e+17,"1377123134","ACWD contributes monthly column to the Tri-City Voice. Read first installment http://t.co/3ZWvLGixhj",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"41","AlamedaCountyWD",921026940,1.08375e+18,"1/11/19 15:35","@BogdanSzuta We apologize for the discolored water you experienced yesterday. It's possible it was due to our yearly main cleaning program which helps to remove the buildup in pipes. You can find the schedule on our website https://t.co/YEkVGOUM8w or call our Operations dept at 668-6500.",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"42","AlamedaCountyWD",921026940,9.53e+17,"1516032394","ACWD’s administrative office will be closed today, January 15th, 2018, in observance of Martin Luther King Jr. Day &amp; will reopen tomorrow at 8 a.m. For water emergencies, call 510.668.6500. #MLKDay2018",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"43","AlamedaCountyWD",921026940,1.42e+18,"1628128742","August is National Water Quality Month https://t.co/WoTuSWZKSb https://t.co/j59ux0wIbC",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"44","AlamedaCountyWD",921026940,1.47e+18,"1640016080","#MotivationMonday Enter to win $500 by submitting a 30 second video for our video contest! Open to all Tri-City students grades 6-12. Go to https://t.co/jLbDbjg8Uk  for more details! @FremontUSD @newark_usd @NhusdC @Fremont_CA @UnionCityCA_Gov @NewarkCA_Police https://t.co/r64AXjNOxn",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"45","AlamedaCountyWD",921026940,7.4e+17,"1465261029","Board Packet: Board Packet https://t.co/3sOqF6K1sz",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"46","AlamedaCountyWD",921026940,9.23e+17,"1508979006","ACWD Emergency Services can be reached at (510) 665-6296 https://t.co/8WD2ODdscB",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"47","AlamedaCountyWD",921026940,6.49119e+17,"9/30/15 7:11","Community Meeting: Water Supply Reliability - Planning During the Drought and Beyond: Event date: October 14, 2015… http://t.co/NZxzYmMa8n",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"48","AlamedaCountyWD",921026940,1.41643e+18,"7/17/21 15:57","Thanks @Bohras_USA for joining us and supporting this community effort! https://t.co/Xy1u4ZJqCK",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"49","AlamedaCountyWD",921026940,7.15579e+17,"3/31/16 16:37","Agenda: Agenda https://t.co/HOMAAk3hpU",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"50","AlamedaCountyWD",921026940,9.38e+17,"1512492365","Prepare Your Home Exterior and Landscape for the Winter Months: Receive up to $50 on rain barrel rebates to give your landscape projects a jump start! Learn more about rebates and winter-ready tips. https://t.co/qmCZMIqmxI",1,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"51","AlamedaCountyWD",921026940,7.42825e+17,"6/14/16 21:03","Agenda: Agenda Update: Minutes added or updated https://t.co/gZ6k89iYto",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"52","AlamedaCountyWD",921026940,1.32258e+18,"10/31/20 17:00","Have a spook-tacular and safe Halloween! 🎃
#ACWDcares🚰👍 https://t.co/FGioP9fH2F",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"53","AlamedaCountyWD",921026940,2.9539e+17,"1/27/13 4:37","ACWD Financing Authority: ACWD Financing Authority http://t.co/ajg4qUsC",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"54","AlamedaCountyWD",921026940,4.79e+17,"1403150197","Operations and Water Quality Committee Meeting: July 2, 2014 http://t.co/fKLYxvYtMq",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"55","AlamedaCountyWD",921026940,8.5e+17,"1491518620","Coming to the Sunol Wildflower Festival? Download the day's schedule here. Sun. Apr. 9 https://t.co/T2ofL4z9x6",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
"56","AlamedaCountyWD",921026940,5.5363e+17,"1/9/15 19:12","Legal and Legislative Committee Meeting: Event date: January 21, 2015 Event Time: 03:00 PM - 11:59 PM Location:… http://t.co/J3MMy2jrh2",0,84,"Alameda County Water District","CA0110001","Alameda","San Francisco Bay",3,356823,340000,"ALAMEDA COUNTY WATER DISTRICT",NA,"Local Government","Fremont","94538","www.acwd.org","w76","http://www.acwd.org/","special district","@AlamedaCountyWD","@AlamedaCountyWD"
